index,font,sentence
0,나눔손글씨 가람연꽃.ttf,"취업 준비생입니다. 글씨에 성격이 담긴다지만, 저는 이상을 담으려 해요. 불투명한 미래에도 희망이 있다는 믿음을 가지려 합니다."
1,나눔손글씨 갈맷글.ttf,저희 동네 예쁜 바닷길 이름이 갈맷길입니다. 그 이름에서 따왔습니다. 구불구불 편안한 길 같은 글로 쓰였으면 합니다.
2,나눔손글씨 강부장님체.ttf,오래전부터 글씨를 많이 쓰는 사무실에서 일해온 강 부장입니다. 사무실에서 흔히 볼 수 있는 이 글씨로 타이핑해보면 어떨까요?
3,나눔손글씨 강인한 위로.ttf,고학생 만학도입니다. 글을 통해 답답한 마음을 풀고 힘든 시기를 버틸 수 있었습니다. 제 글씨로 위로가 되고 싶습니다.
4,나눔손글씨 고딕 아니고 고딩.ttf,"저는 고등학생이고, 친구들과 함께 있는 게 너무 즐거운데요. 제 글씨로 학교 친구들과의 추억을 떠올리셨으면 좋겠습니다."
5,나눔손글씨 고려글꼴.ttf,고려인으로서 모든 고려인들이 한글이라는 모국어를 더 많이 배우고 익히는 데 도움이 되는 고려 글꼴이 되었으면 합니다.
6,나눔손글씨 곰신체.ttf,남자친구 군대를 기다리고 있는 곰신입니다. 생각이 많이 나는 날 쓰곤하는 애틋한 손편지를 느껴보셨으면 좋겠습니다.
7,나눔손글씨 규리의 일기.ttf,특별한 사람이 되고자 필기했던 나는 반복되는 하루를 끄적이는 어른이 됐다. 변하지 않은 글씨체로 어쩌면 많이 달라진 삶을 기록해본다.
8,나눔손글씨 금은보화.ttf,내년에 원하는 대학에 합격해서 제 손글씨 글꼴로 과제를 작성하고 싶어요. 수험생 모두에게 좋은 결과가 있길! 파이팅!
9,나눔손글씨 기쁨밝음.ttf,"입양 가족입니다. 아이들에게 편지를 자주 쓰는데, 이 글씨체로 추억을 주고 싶어요. 글꼴명에 아이들 이름의 뜻을 붙여보았습니다."
10,나눔손글씨 김유이체.ttf,일곱 번의 수술을 받고도 하늘나라로 떠난 우리 딸. 육아일기 쓰던 엄마의 손글씨를 통해 이 세상에 다녀갔던 것이 기억되길 바랍니다.
11,나눔손글씨 꽃내음.ttf,저는 연고가 없는 누군가를 삶의 연장선으로 이끌어가는 간호사입니다. 제 글씨가 꽃내음처럼 희망이 되기를 소망합니다.
12,나눔손글씨 끄트머리체.ttf,"세상 모든 일의 끝을 알 수 없듯, 지금과 다른 끝의 기울기를 가졌으면 하는 바람을 담아 쓴 글씨체입니다."
13,나눔손글씨 나는 이겨낸다.ttf,44년 동안 이렇게 굳어버린 글씨체네요. 쓰다 보니 조금은 울컥하네요. 힘듦을 이겨내고 있는 인생을 생각하며 제목을 정했습니다.
14,나눔손글씨 나무정원.ttf,세월 따라 눈이 나빠진 아내가 당신 글씨는 선명해서 읽기 좋으니 응모해보라 합니다. 아내가 건강하길 바라며 사랑을 담아...
15,나눔손글씨 나의 아내 손글씨.ttf,매일 남편에게 출근길에 보라고 현관문에 쪽지를 붙여두죠. 어제 좋았던 일들을 적어요. 다른 누군가도 이 글씨로 응원받으면 좋겠네요.
16,나눔손글씨 노력하는 동희.ttf,제 동생은 청각장애가 있고 시력도 많이 나빠 글 쓰는데 많은 노력이 필요합니다. 양식을 확대해 일주일 동안 열심히 썼답니다.
17,나눔손글씨 느릿느릿체.ttf,"느릿느릿 오래 걸리는 손글씨이지만, 정성 들여 쓴 만큼 제 손글씨 글꼴을 통해 많은 사람들의 마음이 전달되면 좋겠습니다."
18,나눔손글씨 다시 시작해.ttf,"28세. 작가로서 새로운 삶을 준비합니다. 늦은 건 아닐까 두려운 출발점에서, 새롭게 출발하는 이들에게 희망이 되길 기대합니다."
19,나눔손글씨 다진체.ttf,뇌병변 장애로 불편하지만 손글씨를 열심히 쓰고 있습니다. 언제까지 쓸 수 있을지 몰라 글씨체를 남기고 싶습니다.
20,나눔손글씨 다채사랑.ttf,저는 사회복지사입니다. 사회복지시설을 돕는 모든 소중한 후원자님들께 고맙고 감사한 마음이 전달되면 좋겠습니다.
21,나눔손글씨 다행체.ttf,더 정성스러운 마음을 전할 때 손글씨를 끄적입니다. 자욱마다 마음의 씨앗이 담기면 좋겠어요. 당신에게 닿아 꽃이 피도록.
22,나눔손글씨 달의궤도.ttf,"안녕하세요, 이달의 소녀 희진입니다. 팬분들께서 좋아해 주시는 손편지를 자주 쓰지 못하는 미안한 마음에 참여하게 되었습니다."
23,나눔손글씨 대광유리.ttf,옛날 저희 집은 유리 가게여서 거울에 'ㅇㅇ 증'이란 적으시는 부모님 뒷모습을 보며 자랐습니다. 그때 추억을 흉내 내보았습니다.
24,나눔손글씨 대한민국 열사체.ttf,"대한민국을 아름답게 하는 것은 나로부터 시작됩니다. 찬란한 우리 민족의 정체성을 우아하고, 강인하며, 올곧게 표현했습니다."
25,나눔손글씨 동화또박.ttf,동화를 만드는 꿈을 가지고 있습니다. 언젠가 제가 만든 글자로 예쁜 동화를 만들어 사람들의 마음을 따뜻하게 만들고 싶습니다.
26,나눔손글씨 둥근인연.ttf,무서운 인상이란 소리를 많이 듣는 저는 사람들에게 손글씨로 먼저 다가갑니다. 제 글씨가 소중한 인연을 잇는 글씨가 되었으면 합니다.
27,나눔손글씨 따뜻한 작별.ttf,유난히 악필이었던 남편이 세상에서 제일 예쁘다고 말해주던 내 글씨. 바람이 되어 우리 곁을 떠난 그의 말을 떠올리며 적어보았습니다.
28,나눔손글씨 따악단단.ttf,따돌림을 당하고 외로울 때마다 잊기 위해 책을 필사했다. 외롭고 혼자라고 느끼는 사람들에게 단단해질 수 있다는 응원을 보내고 싶다.
29,나눔손글씨 딸에게 엄마가.ttf,옛날에는 메모장에 할 말을 써서 냉장고에 붙였던 추억이 있어요. 이제는 다 커버린 딸이 어쩌면 잊었을지 모르는 엄마의 글씨체.
30,나눔손글씨 또박또박.ttf,저는 초등학교 3학년이에요. 완전 잘 쓰진 않았지만 잘 봐주셨으면 좋겠네요! 잘 안 쓰는 글자를 써보니 힘드네요. 감사합니다.
31,나눔손글씨 마고체.ttf,"방송국에서 일하며, 카메라로 찍을 장면과 무대를 표현하는 작업은 여전히 연필로 합니다. 그 무대들을 만들었던 글씨입니다."
32,나눔손글씨 맛있는체.ttf,저는 영양사입니다. 메뉴표를 작성할 때 '어떤 글씨로 작성해야 가장 맛있어 보일까?'까지 고민하는 것을 아시나요? :)
33,나눔손글씨 몽돌.ttf,"어렸을 때 몽돌을 만져봤던 기억이 있는데, 그 촉감이 지금도 선명합니다. 제가 느꼈던 그 기분을 글꼴로 느껴보셨으면 좋겠어요."
34,나눔손글씨 무궁화.ttf,"대한민국이라는 이름만 들어도 가슴이 벅찬 경찰 준비생입니다. 무궁화 꽃말처럼 일편단심, 영원히 대한민국 국민이고 싶습니다."
35,나눔손글씨 무진장체.ttf,초단기 계약직으로 일하고 있는 장 아무개입니다. 일 끝나고 쉬는 시간에 적어보았어요. 무진장 정규직이 되고 싶은 마음을 담아...
36,나눔손글씨 미니 손글씨.ttf,글씨를 쓸 때 반대편 손으로 가리는 버릇이 있었습니다. 저처럼 자존감이 낮은 사람도 자신감을 갖고 이야기를 써가길 바랍니다.
37,나눔손글씨 미래나무.ttf,정규직으로 발걸음 뗀 사회 초년생입니다. 원하던 녹지 일을 하게 된 의미 있는 해입니다. 나무가 자라듯 성장하고 싶습니다.
38,나눔손글씨 바른정신.ttf,저는 네 아이의 엄마입니다. 아이들이 제 글씨를 너무 좋아해서 학교 선생님께 메모를 드릴 때면 뿌듯해하고 자랑스러워해요.
39,나눔손글씨 바른히피.ttf,"네모 안에서 히피처럼 자유롭게! 자유롭지만 바르게, 바르지만 자유롭게 살아가는 우리들을 위한 네모한 글씨체입니다!"
40,나눔손글씨 반짝반짝 별.ttf,미래에 대한 불안으로 우울해하는 친구들에게. 노력이 언젠가는 별처럼 빛날 거예요. 이 글꼴이 빛나는 이야기를 가득 담기를.
41,나눔손글씨 배은혜체.ttf,사무실에서 열심히 영수증을 붙이는 사람입니다 :) 영수증에 끄적인 것보다 정성스럽게 적은 저의 진짜 글씨체를 보고 싶어요.
42,나눔손글씨 백의의 천사.ttf,저는 환자분들 주사를 꽂은 부위에 또박또박 글씨를 써드려요. 예쁜 글씨를 보면 행복해지잖아요. 제 글씨로 행복을 같이 나누고 싶어요.
